Order_ID,Order_Date,Customer_ID,Gender,Age,Age_Group,City,State,Product_Category,Product_Name,Quantity,Price,Discount,Payment_Method,Order_Status
1001,2024-01-25,C022,Other,,60+,Hyderabad,Telangana,Fashion,Jeans,2,2396,0.3,Net Banking,Returned
1002,2024-02-27,C108,Male,,60+,Chennai,Tamil Nadu,Health,Protein Powder,3,1987,0.3,Net Banking,Cancelled
1003,2024-02-03,C024,Male,,60+,Delhi,Delhi,Fashion,Jeans,3,3707,0.05,COD,Cancelled
1004,2024-02-12,C104,Male,60.0,60+,Mumbai,Maharashtra,Beauty,Skincare Kit,1,591,0.2,Credit Card,Cancelled
1005,2024-02-22,C009,Female,,60+,Hyderabad,Telangana,Electronics,Headphones,1,4427,,Credit Card,Returned
1006,2024-01-10,C108,Other,51.0,46-59,Chennai,Tamil Nadu,Electronics,Wireless Mouse,2,4650,,Net Banking,Cancelled
1007,2024-02-15,C083,Male,,60+,Delhi,Delhi,Electronics,Wireless Mouse,2,2428,0.15,UPI,Returned
1008,2024-01-11,C062,Male,60.0,60+,Pune,Maharashtra,Home,Curtains,1,3688,0.3,UPI,Returned
1009,2024-02-26,C039,Female,,60+,Delhi,Delhi,Electronics,Headphones,1,1261,,Credit Card,Cancelled
1010,2024-01-08,C103,Male,,60+,Hyderabad,Telangana,Home,Kitchen Set,1,3864,,Net Banking,Cancelled
1011,2024-03-01,C078,Male,,60+,Bangalore,Karnataka,Fashion,Dress,1,3147,0.05,UPI,Delivered
1012,2024-01-28,C042,Female,49.0,46-59,Chennai,Tamil Nadu,Beauty,Lipstick,1,5630,,UPI,Returned
1013,2024-02-27,C052,Female,40.0,36-45,Bangalore,Karnataka,Beauty,Skincare Kit,1,591,0.2,UPI,Delivered
1014,2024-02-29,C025,Female,,60+,Mumbai,Maharashtra,Beauty,Skincare Kit,1,1373,,Debit Card,Delivered
1015,2024-01-05,C055,Male,56.0,46-59,Delhi,Delhi,Home,Curtains,2,5970,,UPI,Delivered
1016,2024-01-02,C069,Other,61.0,60+,Bangalore,Karnataka,Health,Protein Powder,3,4407,0.3,Credit Card,Cancelled
1017,2024-01-19,C114,Male,,60+,Delhi,Delhi,Fashion,Jeans,1,740,0.1,Debit Card,Returned
1018,2024-01-03,C054,Other,44.0,36-45,Chennai,Tamil Nadu,Beauty,Lipstick,1,3762,0.0,Credit Card,Returned
1019,2024-01-16,C090,Other,,60+,Bangalore,Karnataka,Home,Curtains,2,3562,0.1,Net Banking,Delivered
1020,2024-01-19,C110,Male,,60+,Hyderabad,Telangana,Electronics,Power Bank,3,905,,Net Banking,Cancelled
1021,2024-01-11,C074,Male,41.0,36-45,Bangalore,Karnataka,Home,Bedsheet,1,5876,0.3,UPI,Cancelled
1022,2024-01-04,C042,Male,,60+,Hyderabad,Telangana,Health,Protein Powder,1,3851,0.3,UPI,Cancelled
1023,2024-01-18,C097,Other,42.0,36-45,Bangalore,Karnataka,Health,Protein Powder,1,1295,0.05,UPI,Cancelled
1024,2024-02-27,C081,Other,44.0,36-45,Pune,Maharashtra,Electronics,Headphones,1,5093,0.1,UPI,Delivered
1025,2024-01-08,C106,Male,,60+,Chennai,Tamil Nadu,Beauty,Skincare Kit,2,5489,0.05,Debit Card,Delivered
1026,2024-02-01,C040,Female,38.0,36-45,Hyderabad,Telangana,Electronics,Smart Watch,2,5201,0.05,UPI,Cancelled
1027,2024-02-06,C061,Male,,60+,Bangalore,Karnataka,Beauty,Skincare Kit,1,599,0.1,Credit Card,Cancelled
1028,2024-02-15,C082,Male,,60+,Chennai,Tamil Nadu,Electronics,Headphones,3,4072,0.3,Debit Card,Delivered
1029,2024-02-29,C020,Other,48.0,46-59,Mumbai,Maharashtra,Home,Bedsheet,1,3401,0.05,UPI,Cancelled
1030,2024-02-06,C048,Other,53.0,46-59,Chennai,Tamil Nadu,Electronics,Wireless Mouse,3,5749,0.1,Net Banking,Cancelled
1031,2024-02-14,C105,Male,23.0,18-25,Kolkata,West Bengal,Beauty,Skincare Kit,3,733,0.2,Debit Card,Cancelled
1032,2024-01-17,C033,Female,,60+,Chennai,Tamil Nadu,Electronics,Bluetooth Speaker,3,5373,,Net Banking,Cancelled
1033,2024-02-29,C033,Male,36.0,36-45,Hyderabad,Telangana,Electronics,Smart Watch,3,3805,0.0,Credit Card,Returned
1034,2024-01-01,C100,Male,,60+,Mumbai,Maharashtra,Electronics,Headphones,2,5443,0.3,COD,Cancelled
1035,2024-03-01,C011,Male,31.0,26-35,Delhi,Delhi,Fashion,T-Shirt,1,761,0.05,UPI,Returned
1036,2024-01-10,C038,Female,53.0,46-59,Hyderabad,Telangana,Home,Curtains,1,5561,0.15,Credit Card,Returned
1037,2024-01-06,C012,Other,,60+,Delhi,Delhi,Beauty,Skincare Kit,2,2294,0.2,Net Banking,Returned
1038,2024-01-24,C015,Female,,60+,Bangalore,Karnataka,Home,Curtains,2,614,0.05,Credit Card,Delivered
1039,2024-01-08,C085,Male,34.0,26-35,Bangalore,Karnataka,Home,Curtains,3,2016,0.0,Credit Card,Cancelled
1040,2024-02-01,C088,Other,,60+,Bangalore,Karnataka,Beauty,Skincare Kit,1,5110,0.1,Credit Card,Cancelled
1041,2024-02-27,C103,Female,,60+,Bangalore,Karnataka,Health,Protein Powder,2,2646,0.15,COD,Returned
1042,2024-02-13,C051,Female,19.0,18-25,Mumbai,Maharashtra,Electronics,Smart Watch,1,5156,0.3,Debit Card,Returned
1043,2024-01-02,C005,Female,,60+,Kolkata,West Bengal,Fashion,Jeans,3,5499,0.1,COD,Returned
1044,2024-01-12,C077,Female,24.0,18-25,Mumbai,Maharashtra,Home,Curtains,1,4596,0.2,UPI,Delivered
1045,2024-02-14,C032,Male,,60+,Kolkata,West Bengal,Health,Protein Powder,3,5333,0.15,UPI,Cancelled
1046,2024-01-16,C028,Female,,60+,Chennai,Tamil Nadu,Beauty,Skincare Kit,3,3909,0.15,Net Banking,Cancelled
1047,2024-01-14,C058,Other,,60+,Pune,Maharashtra,Electronics,Headphones,1,2775,0.3,COD,Returned
1048,2024-01-04,C103,Male,,60+,Kolkata,West Bengal,Home,Bedsheet,2,5686,0.05,Debit Card,Cancelled
1049,2024-01-04,C078,Other,61.0,60+,Kolkata,West Bengal,Electronics,Power Bank,2,2822,0.1,Credit Card,Cancelled
1050,2024-01-14,C025,Female,61.0,60+,Delhi,Delhi,Health,Protein Powder,2,4596,0.3,Debit Card,Returned
